date;obs_discharge;ERA5_10u;ERA5_10v;ERA5_2d;ERA5_2t;ERA5_e;ERA5_msl;ERA5_pev;ERA5_ptype;ERA5_rsn;ERA5_sd;ERA5_sd_real_m;ERA5_stl1;ERA5_swvl1;ERA5_tp
1980-01-01;12.1;-2.245484246148004;2.3948927985297304;263.2914759318034;264.71037589179144;-7.568811997766667e-05;101342.12239583331;-0.0001791296526789;5;172.02537536621094;0.0441063278251223;0.2559487325532348;270.8219083150228;0.3528643180098798;0.0030038754145303
1980-01-02;12.1;-3.500751495361328;5.34218152364095;267.16605928209094;269.1834178500705;-0.0003299164430548;101257.50607638888;-0.0001467214897274;5;170.59115770128037;0.0449987418121761;0.2631231428796232;270.55027728610565;0.3523943163454532;0.0005435943603515
1980-01-03;12.1;-1.874598821004232;4.259108437432183;266.5450892978244;268.5633710225423;-0.0002120331240196;101728.00607638888;-0.0001173502144713;5;172.63298712836374;0.0441701081064011;0.2551237088677785;270.21263970269104;0.3518188968300819;0.0007751782735188
1980-01-04;11.6;-2.1592280069986987;3.682111528184679;266.17281468709314;267.9011404249403;-0.0001469921165455;102375.14496527777;-0.0001066831561425;5;173.90259975857202;0.0446841451856824;0.2561863558435291;270.65013758341473;0.3510888872875107;0.0039581855138142
1980-01-05;11.6;-1.1572373708089192;3.489469528198242;265.0222434997558;267.0252863566081;-0.0002100227866321;102333.53211805556;-0.0001234891048321;5;169.3262651231554;0.046071602238549;0.2711258183272375;271.2406510247124;0.3503505475819111;0.003285268942515
1980-01-06;12.0;-1.087410185072157;2.0378210279676647;262.7542029486762;264.3026860555013;-7.901651163889999e-05;103002.33333333331;-0.0001756116592635;5;170.44407653808594;0.044291509522332;0.2588549353079497;269.779290093316;0.349645449883408;0.0002707640329996
1980-01-07;12.0;-0.3008677164713542;1.3638962639702692;261.20742882622613;262.4088795979818;1.613477555409167e-05;103392.41319444444;-0.000215487089008;5;171.55809020996094;0.0442395607630411;0.256872687327674;268.45985878838434;0.3493845421406958;0.0002048810323079
1980-01-08;12.0;0.5931712256537544;-0.2201885647243922;255.4724148644341;256.5970034069485;2.6064148793566664e-05;103717.9800347222;-0.0002077595175553;5;172.34340922037757;0.0447209311856163;0.2584676705262432;267.71015167236334;0.3498437843388981;0.0001466274261474
1980-01-09;11.8;1.3833546108669708;-0.3311282263861761;255.3216898176405;256.882107840644;9.707175195166666e-06;103870.5234375;-0.0002465468520919;5;171.92777336968314;0.0443177190091874;0.2567444133196095;268.15955691867407;0.3496198546555307;0.0001619259516397
1980-01-10;11.5;2.5462752448187937;0.2981285519070095;258.3939412434896;259.717222849528;-1.1815922334749996e-05;103580.78038194442;-0.0002854750491678;5;171.37143113878037;0.0446763237317402;0.2596884831509359;269.76324123806427;0.3493716878195603;0.000885526339213
1980-01-11;11.3;1.556244108412001;-3.85961405436198;258.9288075764974;260.8013797336155;-0.000137783276538;102496.81770833331;-0.0002192225462446;5;168.48601447211374;0.0693697101540035;0.4106440692377581;270.25462722778326;0.3489769589569833;0.0011629660924275
1980-01-12;11.1;0.8911378648546008;-2.064043892754449;245.337939368354;248.4950269063314;-9.398907422991667e-06;103491.3784722222;-0.0002802141631642;5;169.5133582221137;0.0531570315361022;0.3124973857280117;268.90565533108185;0.348509807139635;3.075599670405834e-05
1980-01-13;11.0;3.1737887064615884;1.527011023627387;253.57859341303504;256.15371476279364;-3.551947884256666e-05;102421.18489583331;-0.0002394884359091;5;167.72608608669705;0.045459833410051;0.2698636058423134;270.5313932630751;0.348387297656801;0.0004896124203999
1980-01-14;11.2;4.004418690999349;3.2619141472710496;265.45510991414386;266.96889962090387;-0.000120004483809;100918.0238715278;-0.000121924560517;5;166.3459048800998;0.0448531077967749;0.2685497649555597;270.3497594197591;0.3483078305919965;0.0016438762346903
1980-01-15;11.1;4.730465571085612;2.7845753563774958;265.5073051452637;267.75108634101025;-0.0003504995256662;100385.75086805556;-0.0001392050180583;5;167.93287319607208;0.0475075973404777;0.2821611482978477;270.0479439629449;0.3478607729905181;0.0021103223164875
1980-01-16;10.9;2.5585041046142583;2.3729546864827475;260.5130399068197;262.79975043402777;-0.000172928518926;99846.35069444444;-0.0001898198388516;5;166.59791225857205;0.0453512867291768;0.2712944408288699;269.7776904635959;0.3474084552791383;0.0030048290888468
1980-01-17;11.2;3.752530839708116;-2.1983153025309248;254.72955073250668;257.1206204096476;-7.630310331775834e-05;100764.0390625;-0.0002079095381001;5;161.75641377766925;0.0700138211250304;0.4320572900321369;268.80297724405926;0.3468068010277218;0.0010827978452046
1980-01-18;11.4;4.384780248006185;1.477257834540473;262.87196816338434;264.54161262512207;2.6172880704175e-05;100603.31119791664;-0.0003042777534573;5;161.70655483669705;0.0541408856709797;0.3339366386431018;270.423509809706;0.3465862199664116;0.0017915169397989
1980-01-19;11.6;4.742515563964843;-2.882255554199219;266.27515962388776;268.62386237250433;-0.0003253067843615;100794.9609375;-0.0001735522722204;5;163.87501186794705;0.0474214653174081;0.2886811231524341;271.1368476019965;0.3462659095724423;0.0012950897216796
1980-01-20;11.6;0.7060301038953994;-4.91229354010688;258.7692654397752;261.54879644181995;-0.0002697802459199;102167.21788194444;-0.0002227965742349;5;165.69754876030817;0.0472483734289804;0.2845269151656364;269.6702740987142;0.3455227046377129;0.0003175338109333
1980-01-21;11.4;1.9479592641194663;-1.8295860290527344;255.72220521503024;258.1578940285577;1.1987906570225002e-05;103255.34461805556;-0.0003006822274376;5;166.58236863878037;0.0719263984097374;0.431118889304753;269.7969199286567;0.3446784743832217;0.000425100326538
